,link,uploaded_date,views,likes,dislikes
220,https://www.youtube.com/watch?v=TdxJVg1cWBs,30 Jan 2018,"344,860","2,412",143
221,https://www.youtube.com/watch?v=wV3N-wCRL2k,28 Jun 2018,"1,071,820,713","3,177,635","2,085,264"
222,https://www.youtube.com/watch?v=lcK_pQ4CNiU,Streamed live on 24 Aug 2018,"5,874",256,1 dislike
223,https://www.youtube.com/watch?v=lbhxHE8sESQ,15 Nov 2017,975,4,None
224,https://www.youtube.com/watch?v=AShuUpGAXWU,17 Apr 2020,11,None,None
225,https://www.youtube.com/watch?v=k0J9Q-jwDWQ,7 Sep 2019,14,1 like,None
226,https://www.youtube.com/watch?v=mGVaHGM5QxQ,1 Nov 2018,"51,781",756,92
227,https://www.youtube.com/watch?v=0mLEOYaAWFg,Premiered on 31 Dec 2019,901,22,6
228,https://www.youtube.com/watch?v=GbP_V2DeAzE,21 Feb 2015,"1,110,510","21,543",791
229,https://www.youtube.com/watch?v=nsnUnUnervY,28 Mar 2020,"137,739","4,518",114
230,https://www.youtube.com/watch?v=nxHvEDLt7Hk,31 Oct 2014,"33,848",266,15
231,https://www.youtube.com/watch?v=fTO649MedaI,23 Oct 2019,"564,694","5,071",317
232,https://www.youtube.com/watch?v=F5PNo18xa4E,2 Jan 2020,"6,385,606","27,954","4,999"
233,https://www.youtube.com/watch?v=Ce7J3uND-Uo,5 Mar 2019,"16,040",181,10
234,https://www.youtube.com/watch?v=qnVqgcqvKRM,19 Dec 2017,"6,477",97,5
235,https://www.youtube.com/watch?v=Ss6qf0U12Zs,3 Mar 2012,"3,266",10,None
236,https://www.youtube.com/watch?v=oxaZZYqKgPs,21 Sep 2020,"6,066",274,10
237,https://www.youtube.com/watch?v=L60GmbAC670,16 Dec 2019,"1,461",49,None
238,https://www.youtube.com/watch?v=5J2lpe4GPQA,24 Mar 2014,"6,003",45,2
239,https://www.youtube.com/watch?v=VGBTd3WD4SM,15 Sep 2016,"269,994,978","442,897","237,784"
240,https://www.youtube.com/watch?v=j6dBIuq-EuU,1 Aug 2016,"25,264,655","147,229","20,362"
241,https://www.youtube.com/watch?v=QfWYO2PYnBg,25 Oct 2018,"17,029",316,6
242,https://www.youtube.com/watch?v=AwBbH-smSik,22 Jan 2019,"1,760",57,4
243,https://www.youtube.com/watch?v=a59HfYQiXX4,Premiered on 4 Aug 2019,640,25,3
244,https://www.youtube.com/watch?v=NXyHYlrrz5s,8 Mar 2020,14,3,None
245,https://www.youtube.com/watch?v=FF2OrPJvYNg,22 Aug 2019,"18,925",180,27
246,https://www.youtube.com/watch?v=P87S2Jumj90,14 Feb 2019,"141,076","3,495",73
247,https://www.youtube.com/watch?v=pMo2xFIVAuo,21 Oct 2019,141,19,None
248,https://www.youtube.com/watch?v=CkU1ClC5DF8,13 Feb 2019,"14,293",79,4
249,https://www.youtube.com/watch?v=LgaZ9uk7MZU,Streamed live on 1 Jul 2020,142,3,None
250,https://www.youtube.com/watch?v=vAElVaUK2gU,23 Jan 2020,21,2,None
251,https://www.youtube.com/watch?v=Ef9EpryU6PM,18 Apr 2020,"212,682","10,598",369
252,https://www.youtube.com/watch?v=ltRbx3oE490,16 Jun 2010,"149,531","1,155",50
253,https://www.youtube.com/watch?v=r1ZIUfRWN6Q,29 Sep 2020,"1,810",181,3
254,https://www.youtube.com/watch?v=AHn2NB4rVdk,7 Sep 2013,638,2,None
255,https://www.youtube.com/watch?v=RbD9McgRxVo,17 Feb 2020,"127,099","2,727",106
256,https://www.youtube.com/watch?v=INp95RT0OMY,Premiered on 8 Sep 2019,"240,750","2,895",538
257,https://www.youtube.com/watch?v=sohrwsTG7mc,20 Apr 2019,"2,547",23,2
258,https://www.youtube.com/watch?v=_ps0-qt4Hgk,27 Sep 2014,"137,457",547,110
259,https://www.youtube.com/watch?v=6R2186Pv_oQ,Premiered on 22 Nov 2019,"6,238,785","65,384","1,982"
260,https://www.youtube.com/watch?v=21a_9ZZLSxA,24 May 2020,"4,202",187,9
261,https://www.youtube.com/watch?v=SOfGRcNKE3M,18 Jan 2020,"152,096","1,633",198
262,https://www.youtube.com/watch?v=r5zxzLAo67Q,Premiered on 19 Dec 2019,"385,029","4,105",198
263,https://www.youtube.com/watch?v=hwHUQ5C3q3w,10 Aug 2014,"14,199",174,12
264,https://www.youtube.com/watch?v=qfSTiAw1rkM,3 Oct 2019,"3,369,506","30,569",929
265,https://www.youtube.com/watch?v=T4hRrsrkvRU,27 Dec 2019,"1,402",33,8
266,https://www.youtube.com/watch?v=xahdKJXs1sA,Premiered on 21 Sep 2020,"1,748",65,1 dislike
267,https://www.youtube.com/watch?v=LKw-poAK9bA,7 Oct 2018,"769,503","7,227","1,509"
268,https://www.youtube.com/watch?v=G-kCOYB8Nu0,26 May 2020,"22,891,070","108,458","11,062"
269,https://www.youtube.com/watch?v=Q5pwBngj5a4,6 Aug 2020,"4,986",141,6
